wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q110732685,Monica Chang'anamuno,Monica Chang’anamuno,female,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q109729503,Deputy Minister of Education,2022-01-28,Q110732685-4E49272A-CAB3-4590-A6C8-139F190819E8
Q110732701,Enock Phale,Enock Phale,male,,,,,Q109729569,Deputy Minister of Health,2022-01-28,Q110732701-D80FCAD0-1B85-484F-8055-52BAEEF91848
Q110732950,Mark Katsonga Phiri,Mark Phiri,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q46624711,Minister of Trade and Industry,2022-01-26,Q110732950-537844A6-92DF-47A9-A82F-C3152986939B
Q16202782,Dr. Lazarus McCarthy Chakwera,Lazarus Chakwera,male,1955-04-05,11,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q15921529,The State President of the Republic of Malawi,2020-06-28,Q16202782-4cd39554-4904-0c2f-4b8b-ca67e343d2dd
Q16202782,Dr. Lazarus McCarthy Chakwera,Lazarus Chakwera,male,1955-04-05,11,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q46627805,Minister of Defence,2020-06-28,Q16202782-90D3195A-9C54-4771-A4F5-6EA7974B2818
Q16214780,Dr. Saulos Klaus Chilima,Saulos Chilima,male,1973-02-12,11,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q4381737,The State Vice President of the Republic of Malawi and also responsible for Public Sector Reforms,2020-02-03,Q16214780-e0f5de85-4725-fcb0-5754-661698870214
Q16216577,Sosten Alfred Gwengwe,Sosten Gwengwe,male,1977-05-20,11,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q46624677,Minister of Finance and Economic Affairs,2022-01-24,Q16216577-77906759-410f-f4ca-cc9d-02933ac5bfa1
Q24565243,Gospel Kazako,Gospel Kazako,male,1968-12-29,11,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q109729549,Minister of Information and Digitisation,2020-07-08,Q24565243-fcf87db1-4b3b-3582-342e-19a6aca67717
Q45780291,Deus Gumba,Deus Banda,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q109729583,Deputy Minister of Lands,2022-01-28,Q45780291-D945C63F-7016-4A76-B2B0-05436E98195E
Q45781150,Harry Mkandawire,Harry Mkandawire,male,,,,,Q46624637,Deputy Minister of Defence,2022-01-28,Q45781150-01F513D2-6240-481C-81FB-297814709C97
Q45781265,Jacob Hara,Jacob Hara,male,,,,,Q110732970,Minister of Transport and Public Works,2021-12-06,Q45781265-0B50E672-7964-46FC-9E33-0EECD846DA73
Q45781572,Khumbize Kandodo Chiponda,Khumbize Chiponda,female,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729514,Minister of Health,2020-07-08,Q45781572-C24B948F-AAEA-4BBB-9CDA-70B6CB415407
Q45782405,Richard Chimwendo Banda,Richard Chimwendo-Banda,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q109729444,Minister of Youth and Sports,2022-01-28,Q45782405-3971C6AA-C44D-46A2-AEDE-C91D9D5811C7
Q45782465,Samuel Kawale,Samuel Kawale,male,,,,,Q109729516,Minister of Lands,2022-01-26,Q45782465-32159D0E-3E60-461E-BFAC-44E9CDA029A4
Q4926342,Prof. Blessings Darlo Chinsinga,Blessings Chinsinga,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q46624772,Minister of Local Government,2021-12-06,Q4926342-EE9D88A5-4C04-4299-AC67-1F50CAB9EE5A
Q5984656,Ibrahim Matola,Ibrahim Matola,male,2000-01-01,7,,,Q110732588,Minister of Energy,2022-01-28,Q5984656-9EC48A2A-7C0E-40AE-89AB-64FE4B6A65C4
Q6220526,John Bande,John Bande,male,,,,,Q110732695,Deputy Minister of Water and Sanitation,2022-01-28,Q6220526-24075CF1-4029-424E-A712-CD94EF110749
Q6835031,Michael Bizwick Usi,Michael Usi,male,1968-01-01,9,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729534,"Minister of Tourism, Culture & Wildlife",2020-07-08,Q6835031-8D693BE1-9F5E-4DDA-804F-B41838C4ACF5
Q6963035,Nancy Tembo,Nancy Tembo,female,1959-01-01,9,,,Q18204379,Minister of Foreign Affairs,2022-01-28,Q6963035-4A20B5A9-9C9B-4C26-BD1E-E2299B8505EB
Q7145664,Patricia Kaliati,Patricia Kaliati,female,1967-01-01,9,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729492,"Minister of Gender, Community Development and Social Welfare",2020-07-08,Q7145664-7CB2818D-B748-4D9E-836B-0037D432F6A6
