wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q103495356,Eisenhower Nduwa Mkaka,Eisenhower Nduwa Mkaka,male,1973-09-12,11,,,Q110732752,Minister of Natural Resources and Climate Change,2022-01-28,Q103495356-7CBF21C8-F04E-47AB-B6B3-B96E941960E5
Q105285313,Agnes Nyalonje,Agnes Nyalonje,female,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729573,Minister of Education,2020-07-08,Q105285313-E7776BA6-CEE2-4CAD-9BEC-2599CE56EEA5
Q108438532,Vera Kamtukule,Vera Kamtukule,female,,,,,Q110732941,Minister of Labour,2022-01-26,Q108438532-1B3F8D1A-B234-42B9-84B2-0070B22BA392
Q108550752,Lobin C. Lowe,Lobin C. Lowe,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q46624756,Minister of Agriculture,2020-07-08,Q108550752-7E22E974-9742-48CF-95B3-46CDCEA94C12
Q109344941,Thabo Chakaka Nyirenda,Thabo Chakaka Nyirenda,male,1982-01-01,9,,,Q46624583,Attorney General,2021-08-27,Q109344941-492A8A87-EB66-4E8C-9E38-D828A1FD3ABC
Q109729450,Titus Mvalo,Titus Mvalo,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q46624811,Minister of Justice,2020-07-08,Q109729450-F9F1FA63-5439-4A1F-8F54-87375FBC6489
Q109729458,Timothy Pagonachi Mtambo,Timothy Mtambo,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q110836199,Minister of National Unity,2022-01-27,Q109729458-4CC0CD91-B4E1-4C1A-8329-7A7E9B90B9D5
Q109729497,Nancy Chaola Mdooko,Nancy Chaola Mdooko,female,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729498,Deputy Minister of Transport and Public Works,2020-07-08,Q109729497-88CAC21A-8E46-4AE2-994F-A8F13AD20AC6
Q109729501,Madalitso Wirima Kambauwa,Madalitso Wirima Kambauwa,female,,,,,Q109729578,Deputy Minister of Agriculture,2022-01-28,Q109729501-E8A5D44E-35C6-447F-AA5D-56EF193ED503
Q109729519,Jean Muonaowauza Sendeza,Jean Muonaowauza Sendeza,female,,,,,Q109729480,Minister of Homeland Security,2022-01-28,Q109729519-AAD991A4-938C-43D1-BC94-7A9EE69D33ED
Q109729542,Halima Alima Daud,Halima Alima Daud,female,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2021-11-25,Q109729543,Deputy Minister of Local Government,2020-07-08,Q109729542-116A27A8-638B-47DE-989D-CB95E73F290F
Q109729577,Agnes Nkusa Nkhoma,Agnes Nkusa Nkhoma,female,,,,,Q110836486,"Deputy Minister of Gender, Community Development and Social Welfare",2022-01-27,Q109729577-71C5242B-ED78-4E84-9F33-70F4B1E9A9DA
Q109729582,Abida Sidik Mia,Abida Sidik Mia,female,,,,,Q110732729,Minister of Water and Sanitation,2022-01-28,Q109729582-265C2FBE-E04E-41C1-A541-560E4AB30472
Q110732591,Dr. Albert Mbawala,Albert Mbawala,male,,,https://www.malawi.gov.mw/index.php/parliament/cabinets,2022-02-07,Q109729486,Minister of Mining,2022-01-28,Q110732591-9BF92CD9-D51B-468B-B433-CA5F5A91EDA0
