name,position
Dr. Lazarus McCarthy Chakwera,The State President of the Republic of Malawi
Dr. Lazarus McCarthy Chakwera,Commander-in-Chief of the Malawi Defence Force
Dr. Lazarus McCarthy Chakwera,Minister of Defence
Dr. Saulos Klaus Chilima,The State Vice President of the Republic of Malawi
Dr. Saulos Klaus Chilima,"Minister of Economic Planning, Development and Public Sector Reforms"
Lobin C. Lowe,Minister of Agriculture
Eisenhower Nduwa Mkaka,Minister of Foreign Affairs
Titus Mvalo,Minister of Justice
Nancy Tembo,Minister of Forestry and Natural Resources
Gospel Kazako,Minister of Information
Chrissie Kamanga Kalamula Kanyasho,Deputy Minister of Health
Abida Sidik Mia,Deputy Minister of Lands
Felix Mlusu,Minister of Finance
Patricia Kaliati,"Minister of Gender, Community Development and Social Welfare"
Agnes Nyalonje,Minister of Education
Kezzie Kasambala Msukwa,Minister of Lands
Ulemu Msungama,Minister of Youth and Sports
Jean Muonaowauza Sendeza,Deputy Minister of Defense
Madalitso Wirima Kambauwa,Deputy Minister of Education
Richard Chimwendo Banda,Minister of Homeland Security
Khumbize Kandodo Chiponda,Minister of Health
Sosten Alfred Gwengwe,Minister of Trade
Roy Akajuwe Kachale-Banda,Minister of Industry
Agnes Nkusa Nkhoma,Deputy Minister of Agriculture
Halima Alima Daud,Deputy Minister of Local Government
Michael Bizwick Usi,"Minister of Tourism, Culture & Wildlife"
Timothy Pagonachi Mtambo,Minister of Civic Education and National Unity
Rashid Abdul Gaffar,Minister of Mining
Nancy Chaola Mdooko,Deputy Minister of Transport and Public Works
Vera Kamtukule,Deputy Minister of Labour
